Video ID,Playlist Video Creation Timestamp
RWzwNkLfrd8,2019-02-07T03:58:16+00:00
w33Io7uJytI,2019-01-31T02:26:11+00:00
iTumzZ4xdkU,2019-01-29T13:20:55+00:00
j7NGbdOrlVo,2019-01-28T05:25:24+00:00
Ln5xSAOJF-o,2019-01-27T04:46:41+00:00
9qV6qneSk_Q,2019-01-27T04:26:49+00:00
rVUTvvJyxFA,2019-01-16T03:29:42+00:00
zBs7tV_gjbc,2019-01-13T09:17:54+00:00
5rUstNCzVYU,2019-01-11T02:10:49+00:00
8O-24WJ6tQU,2019-01-07T06:14:39+00:00
GVrClGlKStw,2019-01-02T09:39:14+00:00
tQrYjDJ9sbU,2019-01-02T09:22:55+00:00
AzjO9vp9JEs,2018-12-23T08:14:40+00:00
NmRChkmL5cU,2018-12-22T06:10:51+00:00
aXo-7YFpau0,2018-12-11T06:33:12+00:00
jySPRAVoNMs,2018-12-10T18:58:24+00:00
uoVxteJr9hk,2018-11-22T00:21:26+00:00
wp1ZltRNdJs,2018-11-05T22:16:11+00:00
NkPXGcWg9wM,2018-11-05T14:08:13+00:00
64em0BJufYk,2018-11-05T12:41:43+00:00
qn-xBYUORRQ,2018-11-05T06:00:59+00:00
I5z7owAG-PA,2018-11-03T06:45:45+00:00
IxUK6FJnt04,2018-11-01T04:49:47+00:00
dURw_8j1EOs,2018-11-01T01:47:29+00:00
CV2L8grF4wk,2018-10-30T21:45:01+00:00
L6HDgmAOaWA,2018-10-30T00:02:31+00:00
VzrebN75Y3w,2018-10-24T04:47:55+00:00
neA1TK3625c,2018-10-23T06:59:23+00:00
pxgOEbjuqvI,2018-10-21T18:11:12+00:00
yMkJht0GxOs,2018-10-21T02:39:25+00:00
 -LWq9Npv6Ew,2018-10-20T19:03:40+00:00
yzSiZjJiDUU,2018-10-19T05:05:44+00:00
FBbYtHeRhnU,2018-10-19T05:05:16+00:00
WBQsqKk8KPs,2018-10-18T23:59:27+00:00
z9LR0VIoXj0,2018-10-08T00:32:16+00:00
SwCkU3h_yWc,2018-10-06T20:01:24+00:00
VbX8aLGoCNk,2018-09-22T17:41:16+00:00
xN4dBJZ0s0U,2018-08-28T03:46:02+00:00
WaHEEW1Gdis,2018-07-15T21:06:46+00:00
lft7AfeFIuQ,2018-07-09T05:55:09+00:00
7CISBtIVi3Y,2018-07-09T05:05:56+00:00
UFhCXHWIp2A,2018-07-08T19:01:04+00:00
QyCWe-SIW6M,2018-05-28T05:24:54+00:00
KcunV5Q5kJo,2018-05-19T16:24:57+00:00
yPy8ol_2DKQ,2018-05-02T05:50:18+00:00
4qv5L2GBUc4,2018-03-26T19:34:34+00:00





